country_name,year,pop_thous,gdp_US_mil,homicides_per_100_000,life_expectancy_years,unemployment_per,departures_thous,tourism_expenditures_US_mil,arrivals_thous,tourism_receipts_US_mil
Fiji,1997,792736,2093994597.22,1.6,65.25,4.03,74000,87000000,359000,386000000
France,1997,59964851,1452884917959.09,1.6,78.3,12.57,17115000,17490000000,66591000,27402000000
China,1997,1230075000,961603952951.82,2.1,70.43,3.2,5324000,9220000000,23770000,12626000000
Mauritius,1997,1148284,4187367601.73,2.1,70.4,9.38,132000,194000000,536000,666000000
Poland,1997,38649660,159117494587.26,2.1,72.65,10.96,48610000,5855000000,19520000,9053000000
Morocco,1997,27754571,39147844526.08,2.6,67.51,13.73,1203000,363000000,3072000,1649000000
Nepal,1997,22584775,4918691916.54,2.6,60.14,1.73,132000,141000000,422000,201000000
Romania,1997,22553978,35574916294.64,3.1,69,5.51,6243000,699000000,5149000,603000000
United States,1997,272657000,8577554463000,6.7,76.43,5,53229000,71948000000,47767000,107047000000
Jordan,1997,4848541,7246188575.46,0.9,71.22,13.82,1233000,635000000,1132000,1063000000
Norway,1997,4405157,161354369892.84,0.9,78.14,4.69,753000,4756000000,2702000,2570000000
Netherlands,1997,15610650,416812740004.52,1.3,77.79,5.51,12858000,12555000000,7841000,11750000000
Belarus,1998,10069000,15222012660.42,10.3,68.41,14,901000,138000000,355000,54000000
Brazil,1998,169785250,863723411632.92,22.6,69.42,9.42,4171000,6019000000,4818000,1398000000
Bulgaria,1998,8256786,14942172233.58,4.7,71.06,12.2,2592000,654000000,2667000,1150000000
Cambodia,1998,11600508,3120425502.58,6.8,56.86,2.54,41000,35000000,287000,129000000
Colombia,1998,38364309,98443739941.17,58.8,72.26,15,1093000,1455000000,674000,1216000000
Dominican Republic,1998,8214426,21672526562.79,13.5,68.92,6.3,354000,380000000,2309000,2153000000
Ecuador,1998,12198449,27981896948.47,13.5,72.08,4.86,330000,325000000,511000,330000000
El Salvador,1998,5797765,10936669900,96.6,68.28,7.1,868000,179000000,542000,206000000
Estonia,1998,1386156,5617109244.63,13.9,69.36,9.51,1659000,197000000,825000,668000000
Georgia,1998,4243607,3613498174.55,5,69.65,14.53,433000,239000000,317000,229000000
Guatemala,1998,11133501,19395491992.99,29.7,66.82,2.86,391000,190000000,636000,329000000
Iceland,1998,274047,8494094642.91,0,79.6,3.07,227000,399000000,232000,372000000
Kazakhstan,1998,15071300,22135245413.23,16.5,64.56,13.13,502000,549000000,257000,454000000
Kyrgyz Republic,1998,4769000,1645963749.83,8.9,67.05,8.9,33000,25000000,59000,12000000
Latvia,1998,2410019,7174985106.64,10.3,69.01,14.46,1961000,355000000,576000,222000000
Mexico,1998,96056321,526502129378.28,13.8,73.63,3.57,9637000,4834000000,19392000,8307000000
Nicaragua,1998,4910647,4635267224.84,13.1,68.67,7.42,422000,94000000,406000,103000000
Panama,1998,2912316,11575486400,9.6,74.69,4.07,211000,245000000,431000,492000000
Papua New Guinea,1998,5581762,3789443014.62,9.5,58.83,2.99,65000,52000000,67000,15000000
Philippines,1998,74672014,72207028767.76,7.9,68.67,3.61,1817000,2022000000,2149000,1431000000
Puerto Rico,1998,3781101,54086400000,17.3,75.01,13.46,1250000,1242000000,3396000,2233000000
Russian Federation,1998,147670692,270955486862.44,22.8,67.03,13.26,10635000,8677000000,16188000,6508000000
Ukraine,1998,50143939,41883241471.74,8.4,68.37,11.32,7773000,487000000,6208000,539000000
United States,1998,275854000,9062818211000,6.2,76.58,4.51,55696000,78423000000,46377000,105095000000
"Venezuela, RB",1998,23288564,91331203433.16,19.3,71.76,11.15,752000,1319000000,685000,769000000
Morocco,1998,28110443,41806219378.62,2,67.86,13.76,1275000,496000000,3095000,1934000000
Poland,1998,38663481,174388559590.26,2,73,9.94,49328000,4524000000,18780000,8321000000
Israel,1998,5971000,115861598589.51,2.5,78.15,10.75,2983000,3233000000,1942000,3598000000
Romania,1998,22507344,41694118972.51,2.5,69.81,5.63,6893000,504000000,4831000,351000000
"Hong Kong SAR, China",1998,6543700,168886163221.57,1,80.13,4.58,47594000,13474000000,7137000,7337000000
Ireland,1998,3712696,90082051923.29,1,76.18,7.7,3330000,3015000000,6064000,3297000000
Sweden,1998,8850974,267224241814.36,1,79.34,8.94,11422000,8591000000,2573000,4997000000
Japan,1998,126400000,4032509760872.94,0.6,80.5,4.1,15806000,35334000000,4106000,5664000000
Germany,1998,82047195,2243225519617.65,1.2,77.48,9.79,69200000,60253000000,16511000,25806000000
Hungary,1998,10266570,48770466838.65,2.8,70.56,8.93,12317000,1496000000,2871000,3688000000
Malaysia,1998,22114654,72167753770.89,2.8,72.26,3.2,25631000,2160000000,5551000,3237000000
Nepal,1998,23057883,4856255044.39,2.8,60.88,1.71,122000,107000000,464000,248000000
Lithuania,1998,3549331,11240360897.71,8.7,71.22,13.71,3241000,304000000,1416000,504000000
Thailand,1998,61585103,113675706127.26,8.7,70.35,3.4,1412000,2246000000,7843000,7954000000
Canada,1998,30155173,631813279406.81,1.9,78.63,8.28,17648000,13384000000,18870000,11049000000
Finland,1998,5153498,133936359590.57,2.2,77.09,13.21,4743000,2565000000,1867000,2371000000
Syrian Arab Republic,1998,15599591,15200846138.46,2.2,72.66,7.45,2411000,583000000,1267000,1017000000
